Tv,F,B,Čj,Ch,Aj/Nj,-,Fj/Aj,D
M,Z,Zsv,Fj/Aj,Čj,-,Fcv,Fcv
M,Čj,Ch,Aj/Nj,D,-,Ivt,Ivt
Tv,M,Ivt-t,B,Hv,Hv,-,Aj/Nj
Z,Čj,M,Fj/Aj,F,Ivt-t
"Kámo, není škola"
Nejde se do školy
